Incident ID,# Killed,# Injured,Year
271363,0,4,2014
269679,1,3,2014
270036,0,4,2014
269167,1,3,2014
268598,1,3,2014
267792,1,3,2014
268282,1,3,2014
282186,4,2,2014
267721,0,5,2014
266570,2,2,2014
268910,1,4,2014
266424,1,8,2014
266407,4,0,2014
264901,0,4,2014
263556,7,0,2014
263376,1,4,2014
263382,0,5,2014
262202,0,4,2014
259935,0,4,2014
227011,1,5,2014
226983,0,5,2014
226388,0,4,2014
226534,0,5,2014
226150,1,3,2014
225903,3,2,2014
225830,0,4,2014
226018,2,3,2014
225036,0,6,2014
224362,0,4,2014
224131,1,4,2014
223651,4,1,2014
223799,4,1,2014
223729,1,3,2014
223582,0,6,2014
222792,1,3,2014
222393,0,4,2014
221554,1,4,2014
224746,0,6,2014
221347,4,0,2014
221577,1,3,2014
217831,0,5,2014
217401,0,4,2014
218054,0,4,2014
216533,0,4,2014
212884,0,5,2014
211348,4,0,2014
210363,5,1,2014
209134,0,4,2014
207145,1,3,2014
207687,0,4,2014
206303,1,3,2014
205726,3,2,2014
205298,0,4,2014
204310,3,1,2014
204477,1,3,2014
204236,0,5,2014
202981,0,4,2014
204254,4,0,2014
201630,3,1,2014
201052,1,5,2014
201648,2,2,2014
201502,0,4,2014
198051,1,7,2014
198527,0,4,2014
197416,0,4,2014
197384,0,15,2014
197287,0,5,2014
198064,1,4,2014
194945,0,4,2014
193960,2,2,2014
193570,0,4,2014
192851,8,0,2014
191416,0,5,2014
190874,3,1,2014
190599,0,6,2014
189562,1,7,2014
188332,0,4,2014
186488,0,5,2014
185393,0,5,2014
185430,0,6,2014
184507,0,5,2014
185196,2,3,2014
183432,0,5,2014
182974,3,1,2014
181947,1,3,2014
180018,1,3,2014
180580,1,3,2014
180007,3,4,2014
178425,0,5,2014
178006,0,4,2014
175911,0,4,2014
175943,0,4,2014
177770,1,3,2014
175839,0,4,2014
175779,1,3,2014
175788,0,6,2014
174560,1,3,2014
174544,0,4,2014
175767,0,4,2014
173369,1,3,2014
173628,2,3,2014
172304,2,5,2014
172205,0,6,2014
172288,0,6,2014
172180,0,7,2014
171802,1,8,2014
173786,0,4,2014
171778,0,4,2014
171823,1,3,2014
170704,3,1,2014
169326,0,5,2014
168844,5,0,2014
168551,0,7,2014
168786,0,5,2014
169024,0,5,2014
167872,3,1,2014
168169,0,7,2014
168307,1,5,2014
167649,1,3,2014
176329,3,4,2014
165856,1,4,2014
165089,0,5,2014
166970,1,3,2014
164513,5,0,2014
163930,0,8,2014
163874,1,6,2014
162687,0,4,2014
161302,0,6,2014
162008,0,4,2014
160998,1,3,2014
161063,1,3,2014
160488,0,4,2014
158387,1,4,2014
159291,0,4,2014
158306,0,5,2014
158589,0,5,2014
157857,3,2,2014
157580,1,3,2014
156670,6,1,2014
156468,0,5,2014
162305,0,4,2014
155943,1,4,2014
156125,2,2,2014
155412,0,4,2014
155755,0,4,2014
154803,0,6,2014
154834,0,7,2014
154971,1,4,2014
154721,0,7,2014
158055,0,5,2014
154844,0,5,2014
156834,0,5,2014
153275,1,3,2014
152468,1,9,2014
153648,0,4,2014
152693,1,5,2014
152960,0,7,2014
153578,0,4,2014
152722,1,3,2014
151659,0,5,2014
157018,2,2,2014
151475,0,5,2014
150299,2,7,2014
154136,1,3,2014
150344,0,5,2014
149954,0,4,2014
157013,0,4,2014
146565,0,4,2014
146586,0,4,2014
149706,3,1,2014
156245,0,6,2014
144565,1,4,2014
143723,1,5,2014
143979,1,3,2014
142822,1,3,2014
142818,1,4,2014
142076,0,7,2014
141382,1,5,2014
141792,0,4,2014
153532,1,3,2014
139281,1,3,2014
138567,0,4,2014
138645,3,1,2014
140185,1,7,2014
138282,4,8,2014
138370,2,2,2014
142123,1,3,2014
135904,0,7,2014
136567,1,3,2014
136163,0,5,2014
134823,0,5,2014
134591,0,4,2014
134238,0,7,2014
156823,1,6,2014
